"GroupName","GroupType","GroupScope","Description","Category","MembershipCriteria","AutoAssignment"
"Test Domain Admins","Security","DomainLocal","Test domain administrators with full control","Administrative","Manual assignment for IT staff","True"
"Test Enterprise Admins","Security","Universal","Test enterprise administrators","Administrative","Manual assignment for senior IT staff","True"
"Test Schema Admins","Security","Universal","Test schema administrators","Administrative","Manual assignment for senior IT staff","True"
"Test Backup Operators","Security","DomainLocal","Test users who can backup and restore files","Administrative","IT staff and selected operations personnel","True"
"Test Server Operators","Security","DomainLocal","Test users who can manage domain servers","Administrative","IT infrastructure team","True"
"Test Account Operators","Security","DomainLocal","Test users who can manage user accounts","Administrative","HR and IT staff","True"
"Test Print Operators","Security","DomainLocal","Test users who can manage network printers","Administrative","Office managers and IT staff","True"
"Test Remote Desktop Users","Security","DomainLocal","Users allowed to connect via Remote Desktop","Access Control","IT staff and remote workers","True"
"VPN Users","Security","Global","Users with VPN access","Access Control","Remote workers and field sales","True"
"WiFi Users","Security","Global","Users with wireless network access","Access Control","All employees with mobile devices","True"
"All Employees","Security","Global","All company employees","Organizational","All full-time and part-time employees","True"
"All Contractors","Security","Global","All contract workers","Organizational","All 1099 contractors","True"
"All Interns","Security","Global","All intern employees","Organizational","All intern employees","True"
"Executives","Security","Global","Executive team members","Departmental","Executive department employees","True"
"Operations","Security","Global","Operations team members","Departmental","Operations department employees","True"
"Engineering","Security","Global","Engineering team members","Departmental","Engineering department employees","True"
"Engineering Operations","Security","Global","Engineering Operations team","Departmental","Engineering Operations department employees","True"
"Sales","Security","Global","Sales team members","Departmental","Sales department employees","True"
"Sales Management","Security","Global","Sales management team","Departmental","Sales managers and directors","True"
"Marketing","Security","Global","Marketing team members","Departmental","Marketing department employees","True"
"Accounting","Security","Global","Accounting team members","Departmental","Accounting department employees","True"
"Finance","Security","Global","Finance team members","Departmental","Finance and accounting departments","True"
"Human Resources","Security","Global","HR team members","Departmental","Human Resources department employees","True"
"Project Management","Security","Global","Project Management team","Departmental","Project Management department employees","True"
"Strategy Consulting","Security","Global","Strategy Consulting team","Departmental","Strategy Consulting department employees","True"
"Content Management","Security","Global","Content Management team","Departmental","Content Management Consulting employees","True"
"CRM Strategy","Security","Global","CRM Strategy team","Departmental","CRM Strategy department employees","True"
"Senior Management","Security","Global","Senior management team","Departmental","Senior Management department employees","True"
"Directors","Security","Global","All directors","Management Level","Users with Director in title","True"
"Managers","Security","Global","All managers","Management Level","Users with Manager in title","True"
"VPs and Above","Security","Global","Vice Presidents and above","Management Level","VP, SVP, CVP, CEO, COO, CFO level","True"
"C-Level","Security","Global","C-Level executives","Management Level","CEO, COO, CFO, CTO level positions","True"
"Seattle Main Office","Security","Global","Seattle main office employees","Geographic","Seattle - Main office location","True"
"Seattle Engineering Office","Security","Global","Seattle engineering office","Geographic","Seattle - Engineering office location","True"
"Seattle Finance Office","Security","Global","Seattle finance office","Geographic","Seattle - Finance office location","True"
"Houston Office","Security","Global","Houston office employees","Geographic","Houston - Sales office location","True"
"New York Office","Security","Global","New York office employees","Geographic","New York offices","True"
"Chicago Office","Security","Global","Chicago office employees","Geographic","Chicago - Central office location","True"
"Atlanta Office","Security","Global","Atlanta office employees","Geographic","Atlanta - Southeast office location","True"
"Boston Office","Security","Global","Boston office employees","Geographic","Boston - Northeast office location","True"
"Los Angeles Office","Security","Global","LA office employees","Geographic","Los Angeles - West office location","True"
"Richmond Office","Security","Global","Richmond office employees","Geographic","Richmond - East office location","True"
"London Office","Security","Global","London office employees","Geographic","London - International office location","True"
"Remote Workers","Security","Global","Remote field workers","Geographic","Remote - Field Sales location","True"
"Full Time Employees","Security","Global","All full-time employees","Employment Type","EmployeeType = Full-time","True"
"Contract Workers","Security","Global","All contract workers","Employment Type","EmployeeType = Contractor","True"
"Intern Employees","Security","Global","All intern employees","Employment Type","EmployeeType = Intern","True"
"Mobile Device Users","Security","Global","Users with mobile devices","Device Access","Users assigned mobile devices","True"
"Laptop Users","Security","Global","Users with laptop computers","Device Access","Users assigned laptop devices","True"
"Workstation Users","Security","Global","Users with desktop workstations","Device Access","Users assigned desktop workstations","True"
"Executive Computing","Security","Global","Executive computing resources","Device Access","Executive department device users","True"
"Engineering Computing","Security","Global","Engineering computing resources","Device Access","Engineering department device users","True"
"Sales Computing","Security","Global","Sales computing resources","Device Access","Sales department device users","True"
"File Share Users","Security","Global","General file share access","Resource Access","All employees except contractors","True"
"Executive File Access","Security","Global","Executive file share access","Resource Access","Executive team members","True"
"Finance File Access","Security","Global","Finance file share access","Resource Access","Finance and accounting teams","True"
"HR File Access","Security","Global","HR file share access","Resource Access","Human Resources team","True"
"Engineering File Access","Security","Global","Engineering file share access","Resource Access","Engineering teams","True"
"Project File Access","Security","Global","Project file share access","Resource Access","Project management teams","True"
"Email Users","Security","Global","Exchange email access","Resource Access","All employees","True"
"Calendar Users","Security","Global","Exchange calendar access","Resource Access","All employees","True"
"Internet Access Basic","Security","Global","Basic internet access","Resource Access","All employees","True"
"Internet Access Full","Security","Global","Full internet access","Resource Access","Employees except interns","True"
